x,y,z
9.0,-27.6,-6.6
9.3,-27.3,-6.9
7.5,-26.7,-8.1
8.7,-24.9,-11.1
10.5,-24.3,-11.7
9.6,-25.2,-13.8
9.0,-24.6,-12.0
9.0,-22.8,-14.4
11.4,-23.4,-12.6
12.3,-21.3,-14.1
12.9,-20.1,-17.1
11.4,-21.6,-15.6
8.4,-22.2,-14.4
7.5,-20.7,-15.9
7.8,-19.8,-16.8
9.6,-16.8,-19.8
8.7,-17.1,-20.7
7.8,-15.0,-20.4
9.0,-13.2,-22.2
8.4,-12.6,-21.0
9.3,-13.5,-21.3
8.7,-12.9,-21.9
7.2,-12.0,-22.8
8.4,-12.0,-24.6
6.6,-10.8,-24.6
6.0,-9.0,-23.4
4.2,-6.6,-24.6
2.7,-5.1,-26.1
2.4,-4.8,-26.4
-0.3,-1.5,-27.3
0.9,-1.5,-27.3
-0.6,-1.2,-28.2
0.0,-1.2,-28.2
0.6,-1.8,-27.0
1.8,-1.2,-27.0
0.9,-2.7,-26.7
2.4,-1.2,-26.4
0.9,-2.7,-27.3
1.5,-0.9,-27.9
-1.5,-1.5,-28.5
0.3,-0.3,-27.9
-3.3,-0.3,-27.9
-2.7,1.5,-27.9
-3.9,2.7,-29.1
-4.8,3.0,-28.2
-3.0,3.0,-27.6
-3.6,4.8,-28.2
-5.4,4.8,-27.6
-5.7,3.9,-28.5
-6.0,4.8,-27.6
-7.8,4.2,-27.6
-7.5,5.7,-27.9
-8.7,6.9,-27.3
-6.6,4.8,-27.0
-8.1,7.5,-27.9
-8.4,7.8,-30.0
-9.3,6.9,-27.9
-8.1,9.9,-26.7
-8.4,9.0,-27.0
-10.2,9.6,-27.0
-12.3,11.1,-25.5
-12.9,14.1,-25.5
-13.2,17.4,-25.2
-15.0,18.0,-25.2
-16.5,20.7,-23.7
-17.4,18.6,-24.0
-16.5,20.7,-23.7
-15.0,22.2,-21.6
-16.2,22.2,-22.2
-16.2,23.4,-21.6
-15.9,23.7,-20.1
-17.4,27.0,-19.8
-18.6,27.6,-18.6
-17.4,28.2,-19.2
-18.9,30.3,-17.1
-18.0,31.2,-16.8
-18.0,31.8,-14.4
-17.7,32.7,-14.7
-19.5,33.3,-11.7
-17.7,34.5,-11.7
-17.7,36.9,-11.1
-16.5,35.7,-10.5
-18.3,34.5,-9.9
-18.3,35.1,-12.3
-19.2,36.0,-9.6
-21.0,36.0,-8.4
-20.1,36.3,-9.9
-20.7,35.7,-7.5
-18.9,38.1,-6.3
-18.9,39.3,-3.9
-18.0,39.0,-5.4
-17.7,38.7,-4.5
-18.9,39.3,-4.5
-18.0,41.4,-4.2
-16.5,40.5,-4.5
-14.7,42.3,-5.1
-15.6,40.2,-3.6
-15.9,42.3,-4.5
-15.0,40.8,-3.0
-14.7,42.3,-2.1
-15.6,42.6,-1.8
-12.6,43.2,-2.4
-13.8,44.4,-1.2
-13.5,42.3,-2.1
-12.3,42.9,-0.9
-12.6,42.6,-3.0
-13.8,43.2,-0.6
-13.8,43.2,-1.8
-15.6,43.8,-1.2
-14.1,42.9,-2.1
-15.3,41.7,-0.3
-14.7,41.1,-0.3
-18.0,40.2,-1.2
-18.3,40.5,-0.9
-19.5,40.5,-2.1
-20.1,39.3,-1.5
-22.8,38.4,-2.4
-22.5,37.5,-1.5
-24.6,37.8,-3.0
-25.5,33.9,-2.7
-27.0,33.6,-3.0
-28.5,33.3,-5.1
-28.2,33.0,-6.0
-28.2,28.8,-6.0
-28.8,30.0,-7.2
-29.4,27.0,-7.8
-28.8,27.6,-9.0
-28.2,27.0,-9.0
-27.9,24.9,-11.7
