x,y,z
30.7,-7.4,33.9
32.1,-5.3,33.9
31.4,-5.3,33.9
35.2,-4.2,32.0
33.5,-3.1,31.7
31.7,-5.6,33.5
34.5,-2.1,32.8
36.6,-2.8,33.5
32.8,-1.7,31.7
34.2,-0.3,32.4
34.9,-3.1,31.0
35.2,-3.5,29.9
37.0,-3.1,28.8
36.3,-3.8,28.0
39.1,-3.1,28.0
37.7,-5.2,28.0
38.0,-4.9,29.1
38.7,-6.3,27.7
37.7,-7.3,27.3
38.7,-7.0,27.0
38.4,-8.0,25.9
39.8,-9.4,25.9
40.8,-11.2,24.0
39.8,-10.1,23.7
40.1,-11.9,22.6
39.4,-11.9,21.1
40.1,-14.0,21.9
40.8,-16.1,20.4
40.1,-16.8,17.5
41.1,-17.9,18.6
39.4,-18.2,17.5
39.0,-20.7,17.1
40.1,-21.0,16.0
39.7,-22.1,14.9
38.7,-22.4,14.6
36.9,-22.8,15.7
35.9,-24.5,16.0
37.3,-27.4,13.9
38.7,-27.4,14.6
34.5,-27.4,11.7
35.9,-28.1,13.1
35.5,-26.3,12.0
34.5,-29.5,12.4
34.1,-30.5,11.3
32.4,-28.1,14.6
34.5,-31.6,14.6
32.7,-31.2,15.0
33.1,-30.9,16.0
32.0,-30.5,17.1
33.4,-29.1,17.1
29.9,-30.5,18.6
33.4,-30.5,17.9
32.7,-28.4,17.1
31.7,-30.2,19.7
28.5,-28.4,21.5
29.6,-28.8,21.9
28.5,-29.1,24.4
26.8,-28.8,24.8
28.9,-29.5,27.0
26.1,-29.5,26.2
26.4,-27.7,28.1
25.4,-28.1,27.7
23.3,-27.4,29.9
21.2,-28.8,29.9
19.8,-27.4,33.5
19.5,-26.4,31.7
17.0,-23.2,34.2
16.7,-23.6,38.3
16.0,-20.7,38.2
16.0,-19.3,38.2
17.0,-19.0,40.1
14.6,-17.2,41.2
12.5,-14.4,41.9
12.8,-10.6,43.0
11.1,-7.4,44.8
11.5,-2.1,42.2
10.4,-2.5,42.6
11.5,2.8,45.9
9.0,4.5,44.0
10.4,8.1,44.0
10.1,9.1,44.4
9.0,11.6,43.3
9.7,14.4,43.3
10.1,16.8,43.6
11.1,19.3,41.8
9.4,20.4,38.5
10.4,21.4,37.4
13.6,23.2,38.5
12.9,26.7,37.1
13.9,27.8,34.5
13.9,29.2,32.3
17.1,30.9,31.2
17.8,30.9,29.0
18.8,32.7,27.9
18.8,32.7,27.9
22.0,33.1,26.9
22.0,33.1,24.7
24.4,33.4,22.1
24.4,34.1,22.8
24.4,34.1,20.7
26.2,33.8,18.8
26.2,31.7,18.8
26.9,31.7,19.6
29.3,34.1,17.7
28.6,31.3,19.2
32.8,32.0,17.8
31.4,32.0,14.8
31.1,30.3,15.2
31.4,30.6,14.8
34.9,29.9,13.4
36.0,28.2,15.2
37.4,26.8,13.8
37.0,26.4,13.4
38.1,25.4,15.2
40.1,24.7,12.3
38.7,24.0,11.6
41.5,19.8,8.7
40.8,22.6,9.4
41.5,21.2,7.9
41.9,21.5,4.7
41.5,19.8,4.3
42.9,19.8,2.1
44.0,20.1,2.5
44.7,17.3,1.0
45.4,15.2,0.3
45.0,14.2,-3.0
45.4,11.0,-0.4
45.4,10.3,-1.9
45.7,7.1,-2.2
47.1,7.8,-5.2
46.4,4.3,-0.8
47.1,2.9,-3.0
46.4,0.8,-5.1
47.1,-2.7,-5.1
47.1,-3.4,-4.4
46.4,-4.8,-5.9
47.4,-5.9,-7.0
46.0,-7.3,-7.0
46.0,-8.7,-5.5
45.3,-11.5,-7.7
44.3,-11.1,-8.0
46.4,-14.0,-5.8
42.9,-14.0,-8.0
43.2,-15.7,-6.2
42.9,-18.2,-7.3
42.9,-19.6,-3.7
41.8,-20.6,-6.2
41.1,-19.9,-5.5
41.8,-21.3,-6.2
42.9,-21.7,-4.4
41.1,-19.9,-4.8
41.5,-22.4,-2.9
42.8,-23.1,-4.4
40.1,-22.4,-2.2
40.4,-22.1,0.4
41.1,-23.5,0.4
41.5,-25.9,1.5
40.1,-28.0,2.9
39.7,-27.7,5.5
37.6,-29.1,6.9
36.9,-27.7,6.2
36.2,-27.7,6.9
36.2,-29.8,10.6
35.9,-28.8,10.2
33.8,-31.6,11.7
33.4,-31.9,13.5
33.1,-32.3,14.6
31.7,-33.0,16.0
29.6,-31.6,19.0
29.2,-31.9,18.6
27.8,-33.4,22.2
26.4,-34.1,22.2
21.9,-34.4,24.8
22.9,-29.9,27.3
19.4,-32.7,28.1
18.4,-30.9,30.6
14.6,-28.5,33.2
13.9,-25.7,36.1
12.8,-24.6,35.7
11.8,-22.9,39.7
9.7,-19.4,40.4
7.9,-17.6,43.0
8.3,-13.0,41.9
4.1,-8.8,45.5
6.9,-5.3,42.6
3.8,-2.9,44.4
4.5,1.4,43.7
3.4,3.1,46.9
4.8,6.6,44.0
3.4,10.2,42.6
5.9,15.4,43.6
3.8,16.8,42.2
4.5,21.1,40.7
6.9,24.9,38.2
5.9,27.4,37.8
6.3,31.3,34.5
8.7,32.3,34.1
8.3,32.7,31.6
10.1,33.0,32.7
12.2,33.7,31.2
11.8,33.4,29.4
11.5,34.4,28.3
11.8,33.4,28.7
14.6,36.2,27.9
16.7,35.5,25.0
17.8,35.9,26.1
19.2,35.9,23.2
20.6,35.2,22.5
23.7,34.8,22.8
26.2,31.0,21.0
30.0,30.6,20.7
31.8,28.2,21.8
34.9,25.0,20.0
37.7,22.9,17.1
40.8,19.7,17.4
41.9,15.2,18.5
41.2,7.4,21.5
40.5,5.3,24.4
40.5,-1.0,25.1
38.0,-4.9,26.2
36.3,-10.2,28.8
34.2,-13.0,28.1
34.5,-14.0,29.1
34.2,-15.8,29.5
36.3,-15.8,28.1
33.5,-15.8,28.1
34.9,-19.3,26.6
