I, --> Sentencia amb algunes dades no vàlides
Estructura --> $MTKG, Latitud, Longitud, Altitud, Vel. Hor. en KM/H, Hora UTC, Satel.lits, Dades GPS valides (V/I), Pressio en Pa, Temp.ext en ºC, Temp.int en ºC, Fotos fetes*Checksum 

-- Meteotek --
 Inicialitzant tasques....
 Inicialitzacio finalitzada. Indicador d'estat: 000F
 Envieu la comanda de bloqueig per parar l'execucio
$MTKG,41 36.14446 N,000 16.03596 W,8843,043.9,083255,11,V,31888,-39.0625,+1.3125,74*65
$MTKG,41 36.26036 N,000 16.04217 W,8940,051.7,083310,11,V,31414,-42.6875,+1.1875,74*67
$MTKG,41 36.34074 N,000 16.06312 W,8983,044.4,083320,11,V,31218,-43.8750,+1.1250,75*6E
$MTKG,41 36.40762 N,000 16.05878 W,9048,056.3,083330,11,V,30915,-43.8125,+1.0000,75*66
$MTKG,41 36.48914 N,000 16.06951 W,9094,048.7,083340,11,V,30711,-44.2500,+0.8750,75*6A
$MTKG,41 36.54072 N,000 16.08153 W,9148,039.5,083350,11,V,30461,-44.0625,+0.8125,76*6A
$MTKG,41 36.66103 N,000 16.11010 W,9257,040.0,083410,11,V,29953,-45.9375,+0.6250,76*64
$MTKG,41 36.73223 N,000 16.12471 W,9308,043.2,083420,11,V,29715,-44.1875,+0.5000,77*63
$MTKG,41 36.78317 N,000 16.14398 W,9358,045.6,083430,11,V,29348,-44.8750,+0.3750,77*67
$MTKG,41 36.85408 N,000 16.17653 W,9402,052.7,083440,11,V,29300,-45.6875,+0.3750,77*6E
$MTKG,41 36.94135 N,000 16.24131 W,9468,034.5,083455,11,V,29006,-46.3750,+0.1875,78*62
$MTKG,41 36.98915 N,000 16.26086 W,9517,035.9,083505,11,V,28786,-46.9375,+0.1250,78*61
$MTKG,41 37.06051 N,000 16.29612 W,9571,051.2,083515,11,V,28543,-46.9375,+0.0000,78*6F
$MTKG,41 37.10995 N,000 16.32972 W,9634,038.3,083525,11,V,28265,-45.8125,-1.9375,79*6D
$MTKG,41 37.17093 N,000 16.35243 W,9699,045.7,083535,11,V,28001,-47.1875,-1.8750,79*66
$MTKG,41 37.22910 N,000 16.39627 W,9772,034.2,083545,11,V,27685,-48.5000,-1.7500,79*64
$MTKG,41 37.26734 N,000 16.43897 W,9814,035.6,083555,11,V,27501,-48.8125,-1.6250,80*6A
I,$MTKG,41 37.32410 N,000 16.48304 W,9892,000.0,083610,11,V,00000,+00.0000,+0.0000,80*FF
$MTKG,41 37.40508 N,000 16.58410 W,9967,034.8,083620,11,V,26847,-47.3750,-1.3125,80*6F
$MTKG,41 37.46643 N,000 16.63135 W,10008,050.0,083630,11,V,26680,-48.0625,-1.3125,81*57
$MTKG,41 37.51682 N,000 16.70133 W,10054,042.5,083640,11,V,26480,-49.4375,-1.1250,81*54
$MTKG,41 37.57904 N,000 16.75100 W,10114,055.4,083650,11,V,26236,-49.1875,-1.0625,81*57
$MTKG,41 37.63252 N,000 16.80526 W,10165,045.8,083700,11,V,26030,-50.0625,-2.9375,82*52
$MTKG,41 37.69022 N,000 16.89359 W,10211,067.9,083710,11,V,25838,-50.0000,-2.8750,82*5A
